SYMBOLIC NAME                                   BUNDLE NAME                                            VERSION
com.adobe.cq.ui.admin                           AEM UI WCM Admin Bundle                                1.0.0.CQ640-B002
com.adobe.cq.cq-experience-fragments            AEM - Experience Fragments                             1.1.248
com.adobe.cq.cq-experience-fragments-social     AEM - Experience Fragments Social                      1.1.46
com.adobe.cq.social.cq-social-activitystreams   AEM Communities ActivityStreams - Bundle               1.5.29
com.adobe.cq.social.cq-social-group             AEM Communities CommunityGroup - Bundle                1.6.45
com.adobe.cq.social.cq-social-tally             AEM Communities Tally - Bundle                         1.5.8
com.adobe.cq.com.adobe.cq.editor                AEM UI WCM Editor Bundle                               1.2.10
com.adobe.cq.dtm-reactor.core                   Adobe CQ Activation DTM Core Bundle                    1.1.6.CQ640-B0006
com.adobe.cq.dam.cq-dam-svg-handler             Adobe CQ Creative Cloud APIs - DAM SVG Asset Handler   0.3.6
com.adobe.cq.cq-experiencelog                   Adobe CQ Experience Log Client Bundle                  1.3.14
com.adobe.cq.cq-security-hc                     Adobe CQ Security Health Checks                        1.4.20
com.day.cq.wcm.cq-wcm-translation               Adobe CQ Translation Workflow                          1.4.192
com.day.cq.wcm.cq-wcm-foundation                Adobe CQ WCM Foundation Components                     5.11.60
com.adobe.cq.wcm.cq-wcm-launches-core           Adobe Communique 5 WCM Launches Core                   5.12.18
com.adobe.granite.crx-explorer                  Adobe Granite CRX Explorer                             1.1.12.CQ640-B0001
com.adobe.granite.crx-packagemgr                Adobe Granite CRX Package Manager                      1.2.60.CQ640-B0008
com.adobe.granite.crxde-lite                    Adobe Granite CRXDE Lite                               1.1.34.CQ640-B0006
com.adobe.granite.auth.ims                      Adobe Granite IMSAuthentication Handler                1.1.14.CQ640-B0010
com.adobe.granite.maintenance.core              Adobe Granite Maintenance Core                         1.3.36.CQ640-B0002
com.adobe.granite.omnisearch.core               Adobe Granite Omnisearch Core Module                   1.0.86.CQ640-B0005
com.day.cq.cq-replication                       Adobe Granite Replication                              6.2.46.CQ640-B0018
com.adobe.granite.timeline                      Adobe Granite Timeline Support                         1.0.20.CQ640-B0003
com.day.crx.sling.crx-auth-token                Adobe Granite Token Authentication                     2.5.36.CQ640-B0002
com.adobe.granite.ui.clientlibs.processor.gcc   Adobe Granite UI Clientlibs - Google Closure Compiler  1.0.8.CQ640-B0004
com.adobe.granite.workflow.core                 Adobe Granite Workflow Core                            2.0.168.CQ640-B0011
com.day.cq.cq-xssprotection                     Adobe Granite XSS Protection                           5.7.4.CQ640-B0010
pdfcore                                         Adobe PDF Core                                         3.0.622277
pdfencryption                                   Adobe PDF Encryption                                   3.0.622277
PDFServices.extraction                          Adobe PDF Extraction services                          3.0.622277
PDFServices.manipulations                       Adobe PDF Manipulation services                        3.0.622277
PDFServices.security                            Adobe PDF Security services                            3.0.622277
org.apache.commons.codec                        Apache Commons Codec                                   1.14.0
org.apache.jackrabbit.jackrabbit-api            Apache Jackrabbit API                                  2.16.6
org.apache.sling.engine                         Apache Sling Engine Implementation                     2.7.2
org.apache.tika.core                            Apache Tika core                                       1.24.0
org.apache.tika.parsers                         Apache Tika parsers                                    1.24.0
com.adobe.cq.cq-product-info-provider           CQ ProductInfo Provider                                6.4.22
com.day.cq.mcm.cq-mcm-campaign                  Day Communique 5 Adobe Campaign Integration            1.3.8.B004
com.day.cq.dam.cq-dam-core                      Day Communique 5 DAM Core Implementation               5.11.392
com.day.cq.dam.cq-dam-scene7                    Day Communique 5 DAM Scene7 Integration                5.11.168
com.day.cq.wcm.cq-wcm-api                       Day Communique 5 WCM API                               5.12.30
com.day.cq.wcm.cq-wcm-core                      Day Communique 5 WCM Core Implementation               5.11.312
com.day.cq.wcm.cq-msm-core                      Day Communique 5 WCM Multi Site Management Core        5.11.84
com.day.cq.dam.cq-dam-s7dam                     Day Communique 5.6 DAM s7 Dam Integration              5.11.192
com.adobe.granite.infocollector                 Granite Info Collector                                 1.0.20.CQ640-B0001
org.apache.jackrabbit.jackrabbit-data           Jackrabbit Data                                        2.16.6
org.apache.jackrabbit.jackrabbit-jcr-commons    Jackrabbit JCR Commons                                 2.16.6
org.apache.jackrabbit.jackrabbit-spi            Jackrabbit SPI                                         2.16.6
org.apache.jackrabbit.jackrabbit-spi-commons    Jackrabbit SPI Commons                                 2.16.6
org.apache.jackrabbit.jackrabbit-webdav         Jackrabbit WebDAV Library                              2.16.6
com.fasterxml.jackson.core.jackson-annotations  Jackson-annotations                                    2.10.3
com.fasterxml.jackson.core.jackson-core         Jackson-core                                           2.10.3
javax.mail                                      JavaMail API (compat)                                  1.6.2
org.apache.jackrabbit.oak-api                   Oak API                                                1.8.22
org.apache.jackrabbit.oak-blob-plugins          Oak Blob Plugins                                       1.8.22
org.apache.jackrabbit.oak-blob                  Oak Blob Store                                         1.8.22
org.apache.jackrabbit.oak-authorization-cug     Oak CUG Authorization                                  1.8.22
org.apache.jackrabbit.oak-commons               Oak Commons                                            1.8.22
org.apache.jackrabbit.oak-store-composite       Oak Composite Store                                    1.8.22
org.apache.jackrabbit.oak-core                  Oak Core                                               1.8.22
org.apache.jackrabbit.oak-core-spi              Oak Core SPI                                           1.8.22
org.apache.jackrabbit.oak-store-document        Oak DocumentNodeStore                                  1.8.22
org.apache.jackrabbit.oak-auth-external         Oak External Authentication Support                    1.8.22
org.apache.jackrabbit.oak-jcr                   Oak JCR Binding                                        1.8.22
org.apache.jackrabbit.oak-auth-ldap             Oak LDAP Authentication Support                        1.8.22
org.apache.jackrabbit.oak-lucene                Oak Lucene                                             1.8.22
org.apache.jackrabbit.oak-store-spi             Oak NodeStore and Commit SPI                           1.8.22
org.apache.jackrabbit.oak-query-spi             Oak Query SPI                                          1.8.22
org.apache.jackrabbit.oak-security-spi          Oak Security SPI                                       1.8.22
org.apache.jackrabbit.oak-segment-tar           Oak Segment Tar                                        1.8.22
org.apache.jackrabbit.oak-solr-osgi             Oak Solr OSGi                                          1.8.22
com.fasterxml.jackson.core.jackson-databind     jackson-databind                                       2.10.3
